,CODIGO MUESTRA,Código SNGM,Código Visita Terreno,Código Mapa,Nombre Punto de Agua,UTM E (WGS 84 18S),UTM N (WGS 84 18S),Altura GPS nav,Tipo,Categoría,Propietario o nombre de cuerpo de agua,FECHA,Hora,pH,Conductividad (uS/cm),Oxígeno disuelto (mg/l),Temperatura (°C),Temperatura (°K)),ORP (mV),ORP (V),pe (25 °C),Eh SHE (mV),Eh SHE (V),pe SHE (25 °C),pe SHE (T°K),Observación,Informe Laboratorio,pH.1,Conductividad Laboratorio (uS/cm),Hidróxidos (mg/l),Carbonatos (mg/l),Bicarbonatos (mg/l),Ión Hidrógeno (mg/l),Fúor (mg/l),Calcio (mg/l),Magnesio (mg/l),Sodio (mg/l),Potasio (mg/l),Litio (mg/l),Sulfatos (mg/l),Cloruros (mg/l),Nitratos (mg/l),Alcalinidad Total (mg/l),Acidez (mg/l),Dureza Total (mg/l),Dureza carbonatosa (mg/l),Dureza no carbonatosa (mg/l),TSD (mg/l),"TSD Evap, 103ºC (mg/l)",Aluminio,Antimonio,Arsenico,Bario,Berilio,Boro,Cadmio,Cobalto,Cobre,Cromo,Estaño,Fosforo,Hierro,Manganeso,Molibdeno,Plata,Plomo,Selenio,Vanadio,Zinc,Mercurio (mg/l),COT (mg/l),Br (mg/l)   ,Rb (mg/l)   ,Sr (mg/l)   ,Y (mg/l)    ,Cs (mg/l)   ,Hf (mg/l)  ,Ta (mg/l)   ,Tl (mg/l)   ,Th (mg/l)   ,U (mg/l)    ,Ni (mg/l),SiO2 (mg/l),NH4 (mg/l),CO2 (mg/l)
0,PUD-FA-001,SNGM-PUD-0003,FA-172,,,622243.0,5367844.0,17.0,Puntera,Puntera,APR Chacao,23-01-18,,,206.0,3.13,13.62,286.77,,,,,,,,Red de punteras que funciona solo como apoyo,2018-022,6.62,165.0,,0.0,83.0,,0.05,13.0,6.8,8.0,2.1,0.01,5.0,7.5,1.5,68.0,,61.0,61.0,0.5,84.0,89.0,"<0,020","<0,010","<0,005","<0,005","<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003",0.067,3.6,0.99,"<0,005","<0,002","<0,002","<0,005","<0,003",0.010,0.00015,,2.316,0.0005,0.073,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0.5,0.025,21.1
1,PUD-FA-002,SNGM-PUD-0005,FA-173,,,622052.0,5368345.0,37.0,Pozo,Pozo,APR Chacao,23-01-18,,6.64,114.0,7.5,12.33,285.48,281.6,0.2816,4.759,486.6,0.4866,8.2235,8.5887,"Se toma muestra desde llave de despiche ubicada en la salida del pozo, Se mide NE 15 min después de detener el bombeo,",2018-022,7.01,118.0,,0.0,59.0,,0.1,8.7,4.0,8.5,2.1,0.01,2.1,5.8,1.5,48.0,,38.0,38.0,0.5,62.0,66.0,"<0,020","<0,010","<0,005","<0,005","<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003",0.19,0.028,"<0,003","<0,005","<0,002","<0,002",0.006,0.018,0.013,0.00015,,0.458,0.0005,0.033,0.0005,0.007,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0.5,0.025,21.1
2,PUD-FA-003,SNGM-PUD-0056,"FA-004, FA-174",56,,618779.0,5369686.0,28.0,Vertiente,Vertiente,"Elia U,",07-02-17,16:19:28,7.31,103.0,7.72,14.01,287.16,182.9,0.1829,3.091,387.9,0.3879,6.5555,6.8065,"Emanación desde nivel de grava similar a la observada en FA-001, Caudal aproximado 0,5 l/s,",2018-022,7.0,107.0,,0.0,52.0,,0.07,7.4,3.4,8.0,1.4,0.01,2.5,6.9,1.5,42.0,,33.0,33.0,0.5,56.0,59.0,0.032,"<0,010","<0,005","<0,005","<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003",0.078,0.059,0.004,"<0,005","<0,002","<0,002","<0,005",0.013,"<0,010",0.00015,,0.266,0.0005,0.034,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0.5,0.025,28.2
3,PUD-FA-004,SNGM-PUD-0002,FA-175,,ND-1004-1785,619070.0,5369968.0,56.0,Pozo,Pozo,Municipalidad de Ancud,24-01-18,,8.87,75.0,3.44,12.33,285.48,174.5,0.1745,2.9491,379.5,0.3795,6.4136,6.6983,"Pozo tiene una abertura en la tapa metálica (justo en el centro), por lo cual puede recibir agua de lluvia directamente,",2018-022,6.7,79.0,,0.0,38.0,,0.06,6.7,1.2,6.6,1.7,0.01,0.5,5.7,1.5,31.0,,22.0,22.0,0.5,41.0,43.0,0.025,"<0,010","<0,005",0.009,"<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003","<0,050","<0,010",0.018,"<0,005","<0,002","<0,002","<0,005","<0,003","<0,010",0.00015,,0.274,0.0005,0.018,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0.5,0.025,19.4
4,PUD-FA-005,SNGM-PUD-0001,FA-176,,ND-1004-964,615117.0,5369075.0,9.0,Noria,Noria,Ramón Molina,24-01-18,,6.4,295.0,3.91,13.31,286.46,1.8,0.0018,0.0304,206.8,0.2068,3.4949,3.6376,Se toma muesra de llave lateral de la casa que proviene de un estanque ubicado en el cerro de la propiedad,2018-022,6.52,290.0,,0.0,58.0,,0.03,10.0,6.5,36.0,1.0,0.01,10.0,56.0,1.5,47.0,,52.0,47.0,5.0,150.0,158.0,0.042,"<0,010","<0,005",0.009,"<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003",0.198,7.7,0.115,"<0,005","<0,002","<0,002",0.005,0.004,0.028,0.00015,,1.682,0.0005,0.049,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,42.0,0.025,38.7
5,PUD-FA-006,SNGM-PUD-0076,FA-177,76,,617636.0,5370169.0,34.0,Vertiente,Vertiente,José Vidal,24-01-18,2:17:08,7.26,93.0,8.02,14.91,288.06,108.1,0.1081,1.8269,313.1,0.3131,5.2914,5.4769,"Caudal <0,2l/s, Parámetros medidos directamente en el cauce superficial, Agua cristalina, Vegetación en el punto de muestreo",2018-022,6.79,97.0,,0.0,38.0,,0.04,5.8,3.3,9.1,0.74,0.01,1.1,12.0,1.5,31.0,,28.0,28.0,0.5,51.0,53.0,0.032,"<0,010","<0,005","<0,005","<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003","<0,050",0.13,0.015,"<0,005","<0,002","<0,002","<0,005","<0,003","<0,010",0.00015,,0.353,0.0005,0.03,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,30.0,0.025,21.1
6,PUD-FA-007,SNGM-PUD-0042,FA-182,,ND-1004-2239,609162.0,5368153.0,25.0,Pozo,Pozo,APR Pugeñun,24-01-18,,6.87,204.0,3.9,12.83,285.98,-3.3,-0.0033,-0.0558,201.7,0.2017,3.4087,3.5539,"No es posible medir nivel ya que no baja el pozómetro (entrada estrecha), Se toma muestra en llave de despiche ubicada dentro de la sala de cloración,",2018-022,7.02,228.0,,0.0,124.0,,0.11,16.0,10.0,14.0,3.2,0.01,1.5,12.0,1.5,102.0,,83.0,83.0,0.5,119.0,125.0,"<0,020","<0,010","<0,005",0.008,"<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003",0.18,4.8,0.368,"<0,005","<0,002","<0,002","<0,005","<0,003",0.021,0.00015,,0.478,0.0005,0.098,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,62.0,0.33,23.8
7,PUD-FA-008,SNGM-PUD-0037,FA-183,,,605579.0,5366523.0,24.0,Noria,Noria,Sergio Pérez,25-01-18,,4.25,282.0,1.96,12.08,285.23,97.5,0.0975,1.6478,302.5,0.3025,5.1123,5.3439,"Agua tono marron oscuro, Olor a descomposición de materia organica vegetal,",2018-022,4.26,290.0,,0.0,0.02,,0.015,2.0,5.7,36.0,3.4,0.01,15.0,72.0,1.5,0.5,,29.0,0.5,29.0,134.0,141.0,0.91,"<0,010","<0,005",0.007,"<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003",0.059,1.0,0.020,"<0,005","<0,002","<0,002","<0,005","<0,003",0.020,0.00015,,0.244,0.0005,0.023,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,14.0,0.025,132.0
8,PUD-FA-009,SNGM-PUD-0031,FA-184,,,615675.0,5362927.0,53.0,Noria,Noria,Nancy Millán,25-01-18,,5.84,38.0,6.83,13.57,286.72,251.1,0.2511,4.2436,456.1,0.4561,7.7081,8.0155,"Pozo no se enucentra en uso, ya que se abastecen de camión algibe",2018-022,5.95,38.0,,0.0,5.5,,0.015,2.0,1.4,3.9,0.21,0.01,2.3,6.5,1.5,4.0,,10.0,4.0,6.0,20.0,21.0,0.12,"<0,010","<0,005","<0,005","<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003","<0,050",0.013,0.008,"<0,005","<0,002","<0,002","<0,005","<0,003","<0,010",0.00015,,0.119,0.0005,0.005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,0.5,0.025,29.0
9,PUD-FA-010,SNGM-PUD-0006,FA-185,,ND-1004-202,621717.0,5362976.0,8.0,Pozo,Pozo,Comité de Agua Predial Butamanga - Los Patos,25-01-18,,7.02,124.0,17.34,13.69,286.84,220.0,0.22,3.718,425.0,0.425,7.1825,7.4659,Agua cristalina,2018-022,7.0,129.0,,0.0,64.0,,0.08,11.0,4.3,8.0,2.1,0.01,3.1,6.7,1.5,52.0,,45.0,45.0,0.5,69.0,73.0,"<0,020","<0,010","<0,005","<0,005","<0,002","<0,060","<0,002","<0,002","<0,010","<0,001","<0,003",0.16,0.016,"<0,003","<0,005","<0,002","<0,002","<0,005",0.017,0.011,0.00015,,0.124,0.0005,0.039,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0025,56.0,0.025,24.6
